Rank,Title,Sales,Series,Platform(s),Initial release date,Developer(s),Publisher(s)
1,Minecraft,238000000,Minecraft,Multi-platform,"November 18, 2011",Mojang Studios,Xbox Game Studios
2,Grand Theft Auto V,175000000,Grand Theft Auto,Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games
3,Tetris (EA),100000000,Tetris,Multi-platform,"September 12, 2006",EA Mobile,Electronic Arts
4,Wii Sports,82900000,Wii,Wii,"November 19, 2006",Nintendo EAD,Nintendo
5,PUBG: Battlegrounds,75000000,PUBG Universe,Multi-platform,"December 20, 2017",PUBG Corporation,PUBG Corporation
6,Mario Kart 8 / Deluxe,60460000,Mario Kart,Wii U / Switch,"May 29, 2014",Nintendo EAD,Nintendo
7,Super Mario Bros.,58000000,Super Mario,Multi-platform,"September 13, 1985",Nintendo R&D4,Nintendo
8,Red Dead Redemption 2,50000000,Red Dead,Multi-platform,"October 26, 2018",Rockstar Studios,Rockstar Games
9,Pokémon Red / Green / Blue / Yellow,47520000,Pokémon,Multi-platform,"February 27, 1996",Game Freak,Nintendo
10,Terraria,44500000,None,Multi-platform,"May 16, 2011",Re-Logic,Re-Logic / 505 Games
11,Wii Fit / Plus,43800000,Wii,Wii,"December 1, 2007",Nintendo EAD,Nintendo
12,Tetris (1989),43000000,Tetris,Game Boy / NES,"June 14, 1989",Nintendo R&D1,Nintendo
13,Pac-Man,42071635,Pac-Man,Multi-platform,"May 22, 1980",Namco,Namco
14,Animal Crossing: New Horizons,41590000,Animal Crossing,Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo
15,Human: Fall Flat,40000000,None,Multi-platform,"July 22, 2016",No Brakes Games,Curve Digital
15,The Witcher 3 / Hearts of Stone / Blood and Wine,40000000,The Witcher,Multi-platform,"May 19, 2015",CD Projekt Red,CD Projekt
17,Mario Kart Wii,37380000,Mario Kart,Wii,"April 10, 2008",Nintendo EAD,Nintendo
18,Wii Sports Resort,33140000,Wii,Wii,"June 25, 2009",Nintendo EAD,Nintendo
19,New Super Mario Bros.,30800000,Super Mario,Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo
20,The Legend of Zelda: Breath of the Wild,30700000,The Legend of Zelda,Wii U / Switch,"March 3, 2017",Nintendo EPD,Nintendo
21,Super Smash Bros. Ultimate,30440000,Super Smash Bros.,Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo
22,New Super Mario Bros. Wii,30320000,Super Mario,Wii,"November 11, 2009",Nintendo EAD,Nintendo
23,Call of Duty: Modern Warfare,30000000,Call of Duty,Multi-platform,"October 25, 2019",Infinity Ward,Activision
23,Diablo III / Reaper of Souls,30000000,Diablo,Multi-platform,"May 16, 2012",Blizzard Entertainment,Blizzard Entertainment
23,The Elder Scrolls V: Skyrim,30000000,The Elder Scrolls,Multi-platform,"November 11, 2011",Bethesda Game Studios,Bethesda Softworks
